1,1,8
2,2,35
3,3,29
4,4,30
5,5,17
6,6,84
7,7,91
8,8,79
9,9,73
10,10,80
11,11,92
12,12,64
13,13,79
14,14,9
15,15,58
16,16,49
17,17,24
18,18,10
19,19,21
20,20,17
21,21,76
22,22,6
23,23,23
24,24,92
25,25,78
26,26,19
27,27,28
28,28,82
29,29,68
30,30,39
31,31,59
32,32,33
33,33,4
34,34,21
35,35,51
36,36,64
37,37,79
38,38,44
39,39,51
40,40,7
41,41,58
42,42,69
43,43,4
44,44,29
45,45,3
46,46,44
47,47,82
48,48,94
49,49,41
50,50,41
51,51,22
52,52,94
53,53,51
54,54,29
55,55,28
56,56,51
57,57,86
58,58,85
59,59,69
60,60,35
61,61,64
62,62,37
63,63,29
64,64,56
65,65,60
66,66,28
67,67,32
68,68,78
69,69,4
70,70,48
71,71,51
72,72,71
73,73,69
74,74,44
75,75,49
76,76,56
77,77,51
78,78,31
79,79,29
80,80,90
81,81,28
82,82,14
83,83,61
84,84,78
85,85,91
86,86,93
87,87,41
88,88,19
89,89,25
90,90,64
91,91,19
92,92,32
93,93,74
94,94,59
95,95,64
96,96,4
97,97,4
98,98,92
99,99,3
100,100,39
